label,name,notice,furigana
燃えるごみ,プール（幼児用）,50cm以内に切ってください,は
燃えるごみ,ベビーイス　（木製）,50cm以内に解体してください,は
燃えるごみ,ベルト,金具は外して下さい,は
燃えるごみ,ペットのトイレ用砂やチップ,汚物はトイレに捨ててください,は
燃えるごみ,ペットのふん,出来るだけ自家処理してください,は
燃えるごみ,ホース,50cm以内に切ってください,は
燃えるごみ,保冷材,,は
燃えるごみ,ボール　（スポーツ用）,,は
燃えるごみ,枕,,ま
燃えるごみ,もろふた（木製）,50cm以内に切ってください,ま
燃えるごみ,ラケット（木製）,,ら
燃えるごみ,ランドセル,金具は外して下さい,ら
燃えるごみ,レコード盤,,ら
燃えるごみ,ろうそく,,ら
燃えるごみ,ロープ　,50cm以内に切ってください,ら
燃えないごみ,金物,,主な物
燃えないごみ,陶磁器,,主な物
燃えないごみ,小型家電　等,,主な物
燃えないごみ,ガラス,,主な物
燃えないごみ,蛍光管,透明、または半透明の袋で「燃えないごみ」の日に出してください。割れないよう購入時のケースに入れた状態で袋に入れても構いません。,蛍光灯・体温計（水銀を含むもの）
燃えないごみ,体温計（水銀を含むもの）,透明、または半透明の袋で「燃えないごみ」の日に出してください。割れないよう購入時のケースに入れた状態で袋に入れても構いません。,蛍光灯・体温計（水銀を含むもの）
燃えないごみ,アイロン,,あ
燃えないごみ,アイロン台,指定袋に入らないものは「粗大ごみ」へ。,あ
燃えないごみ,一斗缶,中身は空にしてください。,あ
燃えないごみ,植木鉢（陶器）,土は除いてください。,あ
燃えないごみ,腕時計,電池ははずして販売店の回収BOXへ。,あ
燃えないごみ,LED照明,,あ
燃えないごみ,オーディオ機器,,あ
燃えないごみ,オーブントースター,,あ
燃えないごみ,オーブンレンジ,指定袋に入らないものは「粗大ごみ」へ。,あ
燃えないごみ,おもちゃ類（金属製）,,あ
燃えないごみ,カーコンポ,,か
燃えないごみ,カーテレビ（車載用液晶テレビ）,,か
燃えないごみ,カーナビ,,か
燃えないごみ,カーテン（耐火）,,か
燃えないごみ,加湿器,,か
燃えないごみ,懐中電灯,,か
燃えないごみ,鏡,,か
燃えないごみ,傘,指定袋からはみ出てもごみステーションに出せます。,か
燃えないごみ,ガス湯沸かし器,,か
燃えないごみ,カセットボンベ,中身は使い切ってください。穴あけは不要です。,か
燃えないごみ,かみそり（かみそりの刃）,新聞で包む、袋に「危険」と書くなど安全な工夫をしてください。,か
燃えないごみ,紙粘土,油粘土は「燃えるごみ」へ。,か
燃えないごみ,カメラ,,か
燃えないごみ,ガラス製品（割れたもの、割れていないもの）,ガラスコップ、花瓶など。但し、ビン（飲み物や食品などのビンとしてのガラス製品）は、「資源物（ビン・缶類）」へ。,か
燃えないごみ,乾電池,ボタン電池・小型充電式電池は販売店の店頭回収へ。,か
燃えないごみ,金庫（手提げ金庫など）,,か
燃えないごみ,化粧品のビン,ふた（プラスチック製）は「燃えるごみ」へ。化粧水など油分が付着していない場合は、ビン・缶（資源物）へ。,か
燃えないごみ,携帯電話の充電器,,か
燃えないごみ,殺虫剤スプレー缶,中身は使い切ってください。,さ
燃えないごみ,磁石（クリップ、マグネット）,,さ
燃えないごみ,七輪,,さ
燃えないごみ,瞬間湯沸かし器,,さ
燃えないごみ,消火器（中身無し）,中身が入っている消化器については、消化器リサイクル推進センター（TEL03-5829-6773）にご相談ください。,さ
燃えないごみ,照明器具,蛍光管は外して出してください。,さ
燃えないごみ,食用油びん,中を軽くすすいでください。,さ
燃えないごみ,炊飯器,,さ
燃えないごみ,ステレオ,,さ
燃えないごみ,スプレー缶（殺虫剤用も含む）,中身を使い切ってください。穴あけは不要です。,さ
燃えないごみ,せっこう,,さ
燃えないごみ,扇風機,指定袋に入らないものは「粗大ごみ」へ。,さ
燃えないごみ,洗面器（金属製）,プラスチック製は「燃えるごみ」へ。,さ
燃えないごみ,掃除機,指定袋に入らないものは「粗大ごみ」へ。,さ
燃えないごみ,体温計（水銀を含まないもの）,割れた体温計も「燃えないごみ」へ。,た
燃えないごみ,体重計,,た
燃えないごみ,タイヤチェーン,,た
燃えないごみ,チェーン（自転車）,,た
燃えないごみ,茶碗,,た
燃えないごみ,漬物石,多量の場合は受付できません。,た
燃えないごみ,DVDデッキ,,た
燃えないごみ,テレビゲーム,,た
燃えないごみ,電気ストーブ,,た
燃えないごみ,電気毛布,,た
燃えないごみ,電球（蛍光管でないもの）,,た
燃えないごみ,電子レンジ,指定袋に入らないものは「粗大ごみ」へ。,た
燃えないごみ,電話機,,た
燃えないごみ,トースター,,た
燃えないごみ,砥石,,た
燃えないごみ,陶磁器（割れたものも、割れていないものも）,植木鉢（素焼きも）・食器・装飾品など。,た
燃えないごみ,時計,,た
燃えないごみ,土鍋,,た
燃えないごみ,塗料容器（缶）,中身は空にしてください。,た
燃えないごみ,鍋,,な
燃えないごみ,ねじ（ボルト、ナット）,,な
燃えないごみ,農薬瓶,中身は使い切ってください。,な
燃えないごみ,パイプ椅子,指定袋に入らないものは「粗大ごみ」へ。,は
燃えないごみ,白熱灯（白熱電球を含む）,,は
燃えないごみ,バケツ（金物）,ポリバケツは「燃えるごみ」へ。,は
燃えないごみ,パソコン周辺機器,外付けハードディスク、キーボード、家庭用プリンタ、マウス、接続コードなどの周辺機器は受付できます。,は
燃えないごみ,バット（金属製、カーボン製）,指定袋に入らないものは「粗大ごみ」へ。,は
燃えないごみ,歯磨きのチューブ（金属製）,ビニール製のチューブは「燃えるごみ」へ。,は
燃えないごみ,刃物,新聞で包む、袋に「危険」と書くなど安全な工夫をしてください。,は
燃えないごみ,針、針金,新聞で包む、袋に「危険」と書くなど安全な工夫をしてください。,は
燃えないごみ,ハンガー（金属にビニール被覆したもの）,,は
燃えないごみ,美術用石膏,,は
燃えないごみ,ビデオカメラ,,は
燃えないごみ,ビデオデッキ,,は
燃えないごみ,瓶（割れたもの）,,は
燃えないごみ,ファクシミリ,,は
燃えないごみ,フライパン,,は
燃えないごみ,プランター（陶器）,,は
燃えないごみ,プリンター,,は
燃えないごみ,便器,きれいに洗ってください。,は
燃えないごみ,ペンキの缶,中身は必ず使い切ってください。,は
燃えないごみ,便座蓋（電動式）,電動式でないものは「燃えるごみ」へ。,は
燃えないごみ,ホーロー鍋,,は
燃えないごみ,ホイルキャップ,,は
燃えないごみ,包丁,新聞で包む、袋に「危険」と書くなど安全な工夫をしてください。,は
燃えないごみ,ポット,電気ポットも「燃えないごみ」へ。,は
燃えないごみ,盆提灯（コード付き）,提灯のみは「燃えるごみ」へ。,は
燃えないごみ,マウス（パソコン用）,,ま
燃えないごみ,魔法瓶,,ま
燃えないごみ,ミシン,,ま
燃えないごみ,やかん,,や
燃えないごみ,焼き物（皿や鉢植え）,,や
燃えないごみ,ライター,火災防止のため、捨てる前に必ずガスやオイルを抜きしてください。,ら
燃えないごみ,ラケット（カーボングラファイト製、グラスファイバー製）,指定袋に入らないものは「粗大ごみ」へ。,ら
燃えないごみ,ラジオ,,ら
燃えないごみ,ラジカセ,,ら
燃えないごみ,ワープロ,,わ
燃えないごみ,電気スタンド,,
資源物（紙・布類、ビン・缶）,飲み物や食べ物の空きビン・空き缶,,主な物（ビン・缶）
資源物（紙・布類、ビン・缶）,金属製のフタ,,主な物（ビン・缶）
資源物（紙・布類、ビン・缶）,一升瓶,,あ（ビン・缶）
資源物（紙・布類、ビン・缶）,粉ミルク缶,ふた（プラスチック製）は「燃えるごみ」へ。,か（ビン・缶）
資源物（紙・布類、ビン・缶）,醤油びん,ふた（プラスチック製）は「燃えるごみ」へ。,さ（ビン・缶）
資源物（紙・布類、ビン・缶）,茶筒,,た（ビン・缶）
資源物（紙・布類、ビン・缶）,海苔の瓶・缶,,な（ビン・缶）
資源物（紙・布類、ビン・缶）,ビール瓶,出来るだけ、販売店への回収にお出しください。,は（ビン・缶）
資源物（紙・布類、ビン・缶）,ビール瓶のふた,,は（ビン・缶）
資源物（紙・布類、ビン・缶）,瓶（飲料用）,,は（ビン・缶）
資源物（紙・布類、ビン・缶）,新聞・ちらし,,主な物（紙・布類）
資源物（紙・布類、ビン・缶）,牛乳パック（500ml以上）,,主な物（紙・布類）
資源物（紙・布類、ビン・缶）,雑誌・包装紙・箱類,雑誌や書籍類は紙袋で出さないでください。,主な物（紙・布類）
資源物（紙・布類、ビン・缶）,ダンボール,,主な物（紙・布類）
資源物（紙・布類、ビン・缶）,衣類・毛布・シーツ・タオルケット,,主な物（紙・布類）
資源物（紙・布類、ビン・缶）,アルバム,,あ（紙・布類）
資源物（紙・布類、ビン・缶）,衣類,肌着、綿が入った衣類、汚れた衣類、小物類（帽子・手袋・靴下等）は「燃えるごみ」へ。,あ（紙・布類）
資源物（紙・布類、ビン・缶）,菓子箱（紙製）,,か（紙・布類）
資源物（紙・布類、ビン・缶）,カタログ,,か（紙・布類）
資源物（紙・布類、ビン・缶）,カレンダー,,か（紙・布類）
資源物（紙・布類、ビン・缶）,牛乳パック（500ml以上）,紙パックとして。洗って、開いて、乾かしてください。,か（紙・布類）
資源物（紙・布類、ビン・缶）,牛乳パック（500ml未満）,雑紙として。,か（紙・布類）
資源物（紙・布類、ビン・缶）,教科書,雑誌や書籍類は紙袋で出さないでください。,か（紙・布類）
資源物（紙・布類、ビン・缶）,コピー用紙,,か（紙・布類）
資源物（紙・布類、ビン・缶）,雑誌,,さ（紙・布類）
資源物（紙・布類、ビン・缶）,シーツ,汚れているものは「燃えるごみ」へ。,さ（紙・布類）
資源物（紙・布類、ビン・缶）,写真,,さ（紙・布類）
資源物（紙・布類、ビン・缶）,習字半紙,毛筆で書いた紙は、多量（段ボール数箱分）の場合は、「燃えるごみ」へ。（再生施設で処理する際に、墨が溶け出して液を汚すのを避けるため）,さ（紙・布類）
資源物（紙・布類、ビン・缶）,新聞紙,,さ（紙・布類）
資源物（紙・布類、ビン・缶）,セーター,毛糸球は「燃えるごみ」へ。,さ（紙・布類）
資源物（紙・布類、ビン・缶）,タオルケット,,た（紙・布類）
資源物（紙・布類、ビン・缶）,たまごパック（紙製）,,た（紙・布類）
資源物（紙・布類、ビン・缶）,ダンボール（切れ端含む）,ガムテープ等は剥がして「燃えるごみ」へ。断面が波状のものが、ダンボールです。,た（紙・布類）
資源物（紙・布類、ビン・缶）,チラシ,,た（紙・布類）
資源物（紙・布類、ビン・缶）,テスト用紙,個人情報が気になる方は、氏名の部分は切り取って出してください。,た（紙・布類）
資源物（紙・布類、ビン・缶）,トイレットペーバーの芯,,た（紙・布類）
資源物（紙・布類、ビン・缶）,ノート,,な（紙・布類）
資源物（紙・布類、ビン・缶）,バインダー（紙製）,金属部分、プラスチック部分は取り外して出してください。,は（紙・布類）
資源物（紙・布類、ビン・缶）,封筒,ビニールの部分は外してください。,は（紙・布類）
資源物（紙・布類、ビン・缶）,包装紙,,は（紙・布類）
資源物（紙・布類、ビン・缶）,本,,は（紙・布類）
資源物（紙・布類、ビン・缶）,名刺,,ま（紙・布類）
資源物（紙・布類、ビン・缶）,毛布,電気毛布は「燃えないごみ」へ。,ま（紙・布類）
資源物（紙・布類、ビン・缶）,毛布丹前,,ま（紙・布類）
資源物（紙・布類、ビン・缶）,ラップ（芯）,,ら（紙・布類）
資源物（紙・布類、ビン・缶）,レシート,,ら（紙・布類）
ペットボトル,PET1マークがついた容器（飲料、酒類、しょうゆ、みりん、酢等）,,主な物
ペットボトル,ペットボトル,ふた（プラスチック製）、ラベルは「燃えるごみ」へ。汚れている、工作等で色を塗った、切断した、口から底の方へつぶしたペットボトルは「燃えるごみ」へ。,は
